1	0	0	0
2	2.5	0	0
3	5	0	0
4	7.5	0	0
5	10	0	0
6	12.5	0	0
7	15	0	0
8	17.5	0	0
9	0	2.5	0
10	2.5	2.5	0
11	5	2.5	0
12	7.5	2.5	0
13	10	2.5	0
14	12.5	2.5	0
15	15	2.5	0
16	17.5	2.5	0
17	0	5	0
18	2.5	5	0
19	5	5	0
20	7.5	5	0
21	10	5	0
22	12.5	5	0
23	15	5	0
24	17.5	5	0
25	0	7.5	0
26	2.5	7.5	0
27	5	7.5	0
28	7.5	7.5	0
29	10	7.5	0
30	12.5	7.5	0
31	15	7.5	0
32	17.5	7.5	0
33	0	10	0
34	2.5	10	0
35	5	10	0
36	7.5	10	0
37	10	10	0
38	12.5	10	0
39	15	10	0
40	17.5	10	0
41	0	12.5	0
42	2.5	12.5	0
43	5	12.5	0
44	7.5	12.5	0
45	10	12.5	0
46	12.5	12.5	0
47	15	12.5	0
48	17.5	12.5	0
49	0	15	0
50	2.5	15	0
51	5	15	0
52	7.5	15	0
53	10	15	0
54	12.5	15	0
55	15	15	0
56	17.5	15	0
57	0	17.5	0
58	2.5	17.5	0
59	5	17.5	0
60	7.5	17.5	0
61	10	17.5	0
62	12.5	17.5	0
63	15	17.5	0
64	17.5	17.5	0
